Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,413.75,410.75,410.75,413.5,1595.0,413.5
2020-01-03,414.0,410.75,412.75,411.0,3212.0,411.0
2020-01-06,412.0,408.0,411.0,410.0,686.0,410.0
2020-01-07,410.0,408.25,409.25,410.0,898.0,410.0
2020-01-08,410.25,407.5,409.0,410.25,1140.0,410.25
2020-01-09,411.25,408.0,409.0,409.75,1332.0,409.75
2020-01-10,412.5,405.25,409.25,412.5,1924.0,412.5
2020-01-13,414.5,411.5,412.0,414.5,1237.0,414.5
2020-01-14,414.0,412.5,413.25,413.75,1240.0,413.75
2020-01-15,414.0,411.25,413.25,412.0,1050.0,412.0
2020-01-16,411.5,403.5,411.0,404.25,3632.0,404.25
2020-01-17,412.5,405.25,405.25,412.5,1719.0,412.5
2020-01-21,411.5,409.0,411.25,411.25,1297.0,411.25
2020-01-22,412.75,409.5,410.25,410.5,935.0,410.5
2020-01-23,413.0,409.0,409.75,413.0,1090.0,413.0
2020-01-24,412.0,407.0,411.75,407.75,1098.0,407.75
2020-01-27,405.75,401.75,405.0,405.0,1446.0,405.0
2020-01-28,407.25,403.25,406.25,407.25,901.0,407.25
2020-01-29,408.0,404.0,406.25,405.0,890.0,405.0
2020-01-30,405.0,399.25,405.0,400.25,1548.0,400.25
2020-01-31,402.5,398.75,401.5,400.5,1855.0,400.5
2020-02-03,400.25,397.75,400.25,399.0,1495.0,399.0
2020-02-04,402.5,399.0,399.0,402.25,1371.0,402.25
2020-02-05,402.5,400.5,401.75,401.75,1099.0,401.75
2020-02-06,402.0,398.5,401.75,399.0,1283.0,399.0
2020-02-07,402.75,398.25,398.25,402.75,1647.0,402.75
2020-02-10,402.75,399.25,402.5,402.75,1694.0,402.75
2020-02-11,402.5,399.5,401.75,401.25,1307.0,401.25
2020-02-12,402.75,400.0,400.5,402.5,1329.0,402.5
2020-02-13,401.75,399.75,401.5,401.0,2125.0,401.0
2020-02-14,401.25,397.75,401.0,398.0,817.0,398.0
2020-02-18,402.5,398.0,398.0,402.5,1708.0,402.5
2020-02-19,401.25,399.25,400.5,400.0,1223.0,400.0
2020-02-20,400.25,397.0,399.75,398.0,1104.0,398.0
2020-02-21,398.75,394.25,397.25,395.25,1112.0,395.25
2020-02-24,393.75,390.0,393.75,391.75,2202.0,391.75
2020-02-25,393.0,390.5,391.75,392.0,3624.0,392.0
2020-02-26,394.0,390.5,391.75,391.5,3268.0,391.5
2020-02-27,391.25,386.25,390.5,387.5,4234.0,387.5
2020-02-28,388.5,385.5,387.5,387.5,3209.0,387.5
2020-03-01,387.5,387.5,387.5,387.5,0.0,387.5
2020-03-02,390.75,386.25,386.5,390.5,5822.0,390.5
2020-03-03,396.25,390.75,390.75,394.5,6515.0,394.5
2020-03-04,396.25,392.25,393.75,395.5,5458.0,395.5
2020-03-05,395.0,391.75,394.5,393.5,3906.0,393.5
2020-03-06,394.75,391.0,392.0,391.75,6980.0,391.75
2020-03-08,391.75,391.75,391.75,391.75,0.0,391.75
2020-03-09,388.75,385.0,387.75,387.0,7819.0,387.0
2020-03-10,391.75,388.0,388.5,390.75,4816.0,390.75
2020-03-11,390.75,386.25,390.75,387.0,4251.0,387.0
2020-03-12,386.0,380.5,386.0,381.75,8535.0,381.75
2020-03-13,387.0,380.75,382.0,382.75,7654.0,382.75
2020-03-15,381.75,381.75,381.75,381.75,0.0,381.75
2020-03-16,384.5,377.25,380.25,377.75,11691.0,377.75
2020-03-17,378.25,373.0,377.25,374.0,10347.0,374.0
2020-03-18,375.0,367.0,374.5,369.0,16121.0,369.0
2020-03-19,380.75,369.0,369.5,373.5,13138.0,373.5
2020-03-20,379.5,372.0,374.0,373.25,10965.0,373.25
2020-03-22,373.5,373.5,373.5,373.5,0.0,373.5
2020-03-23,375.5,370.5,372.0,374.5,6225.0,374.5
2020-03-24,377.25,369.5,374.5,374.75,7270.0,374.75
2020-03-25,378.5,374.25,375.0,377.0,5686.0,377.0
2020-03-26,377.75,374.5,376.75,377.5,4520.0,377.5
2020-03-27,378.75,371.75,377.5,374.0,4985.0,374.0
2020-03-29,377.5,377.5,377.5,377.5,0.0,377.5
2020-03-30,374.75,368.0,371.25,369.25,4611.0,369.25
2020-03-31,371.75,365.0,369.5,368.5,10109.0,368.5
2020-04-01,369.5,359.0,368.25,359.0,9077.0,359.0
2020-04-02,365.0,358.5,359.5,361.25,9128.0,361.25
2020-04-03,364.5,359.5,361.75,362.0,7455.0,362.0
2020-04-05,361.25,361.25,361.25,361.25,0.0,361.25
2020-04-06,361.25,358.0,360.0,359.5,4361.0,359.5
2020-04-07,364.5,359.75,359.75,361.75,4720.0,361.75
2020-04-08,363.5,359.0,362.0,360.25,2669.0,360.25
2020-04-09,363.25,359.0,361.0,362.25,4269.0,362.25
2020-04-12,362.25,362.25,362.25,362.25,0.0,362.25
2020-04-13,363.5,357.5,362.0,361.5,3884.0,361.5
2020-04-14,362.75,358.5,361.5,359.0,6002.0,359.0
2020-04-15,360.0,354.5,359.0,355.5,9947.0,355.5
2020-04-16,356.75,352.75,355.75,353.25,5195.0,353.25
2020-04-17,357.0,353.25,353.25,355.25,6198.0,355.25
2020-04-19,353.25,353.25,353.25,353.25,0.0,353.25
2020-04-20,355.25,348.5,355.25,349.75,9134.0,349.75
2020-04-21,350.25,338.75,349.5,345.25,15540.0,345.25
2020-04-22,353.0,344.25,347.0,349.5,9229.0,349.5
2020-04-23,355.25,348.25,350.0,350.75,9131.0,350.75
2020-04-24,352.25,345.0,350.5,349.25,6777.0,349.25
2020-04-26,350.75,350.75,350.75,350.75,0.0,350.75
2020-04-27,349.0,341.5,348.75,342.75,7879.0,342.75
2020-04-28,345.75,341.5,342.25,343.75,7458.0,343.75
2020-04-29,348.5,341.0,343.75,347.0,7459.0,347.0
2020-04-30,352.0,344.75,346.75,350.5,8427.0,350.5
2020-05-01,350.5,346.25,350.0,350.25,6984.0,350.25
2020-05-03,350.5,350.5,350.5,350.5,0.0,350.5
2020-05-04,349.25,345.0,348.75,347.75,8811.0,347.75
2020-05-05,348.5,345.25,347.0,347.5,6067.0,347.5
2020-05-06,348.25,343.75,348.0,344.75,8292.0,344.75
2020-05-07,349.0,344.25,344.25,347.0,8574.0,347.0
2020-05-08,351.5,347.0,347.25,349.0,6880.0,349.0
2020-05-11,351.75,347.0,350.0,347.75,5392.0,347.75
2020-05-12,350.0,343.75,347.75,348.5,10890.0,348.5
2020-05-13,348.5,345.0,348.5,345.25,6927.0,345.25
2020-05-14,345.5,343.25,345.5,344.75,5890.0,344.75
2020-05-15,346.0,343.75,344.5,344.75,6532.0,344.75
2020-05-18,346.5,343.5,345.0,345.25,4707.0,345.25
2020-05-19,348.5,344.75,345.5,346.5,6366.0,346.5
2020-05-20,347.5,344.0,346.75,346.5,6563.0,346.5
2020-05-21,347.0,344.0,346.0,345.5,4455.0,345.5
2020-05-22,346.75,343.75,345.5,345.25,4347.0,345.25
2020-05-26,349.0,343.0,343.0,346.5,5834.0,346.5
2020-05-27,348.25,346.25,347.0,346.5,3882.0,346.5
2020-05-28,353.75,345.25,346.5,352.0,12121.0,352.0
2020-05-29,353.75,348.75,351.5,350.25,8353.0,350.25
2020-06-01,351.25,345.0,350.0,347.5,7346.0,347.5
2020-06-02,350.5,346.75,347.5,350.25,10993.0,350.25
2020-06-03,351.0,348.5,350.25,350.5,9386.0,350.5
2020-06-04,355.0,350.25,350.5,355.0,9394.0,355.0
2020-06-05,358.0,354.0,354.25,357.0,15294.0,357.0
2020-06-08,359.75,356.25,358.75,359.0,13192.0,359.0
2020-06-09,359.0,353.75,357.75,355.25,13827.0,355.25
2020-06-10,355.0,352.5,354.75,353.25,11766.0,353.25
2020-06-11,356.25,351.75,353.25,355.5,13893.0,355.5
2020-06-12,357.5,353.5,354.75,354.75,11841.0,354.75
2020-06-15,354.5,350.75,353.5,353.25,8204.0,353.25
2020-06-16,358.0,353.25,355.0,354.0,10639.0,354.0
2020-06-17,355.0,351.0,353.75,353.75,16024.0,353.75
2020-06-18,357.25,352.0,353.75,354.0,14300.0,354.0
2020-06-19,357.0,350.25,353.5,356.75,17154.0,356.75
2020-06-22,356.5,352.0,356.5,353.5,11127.0,353.5
2020-06-23,352.75,346.75,352.75,348.75,22068.0,348.75
2020-06-24,350.75,344.25,348.0,344.75,24242.0,344.75
2020-06-25,344.5,335.5,344.25,339.5,39862.0,339.5
2020-06-26,342.0,333.75,339.75,336.75,36226.0,336.75
2020-06-29,345.5,335.0,335.75,345.5,27741.0,345.5
2020-06-30,364.0,343.25,344.0,361.25,64996.0,361.25
2020-07-01,373.25,360.25,361.0,371.5,46138.0,371.5
2020-07-02,373.75,364.0,370.5,365.0,29960.0,365.0
2020-07-06,371.25,366.25,370.0,367.5,24017.0,367.5
2020-07-07,368.25,360.5,368.0,363.25,27558.0,363.25
2020-07-08,364.75,358.5,362.25,364.5,26972.0,364.5
2020-07-09,371.0,363.5,364.0,366.75,34810.0,366.75
2020-07-10,369.25,354.0,366.75,355.0,30078.0,355.0
2020-07-13,352.5,345.75,352.5,347.5,40132.0,347.5
2020-07-14,349.75,344.0,347.5,344.5,23262.0,344.5
2020-07-15,347.25,341.75,344.5,344.5,26119.0,344.5
2020-07-16,350.75,344.5,344.5,347.75,17676.0,347.75
2020-07-17,351.25,347.75,347.75,349.75,16390.0,349.75
2020-07-20,350.0,343.25,350.0,346.25,21039.0,346.25
2020-07-21,345.75,341.0,345.75,341.5,18667.0,341.5
2020-07-22,345.0,340.5,340.5,344.75,20041.0,344.75
2020-07-23,346.75,342.5,344.25,345.5,19185.0,345.5
2020-07-24,348.0,345.0,345.75,346.0,23341.0,346.0
2020-07-27,347.25,343.5,344.5,345.5,18531.0,345.5
2020-07-28,343.5,340.0,343.25,341.25,22330.0,341.25
2020-07-29,343.0,338.0,341.25,338.25,27959.0,338.25
2020-07-30,341.25,337.75,338.5,338.25,19449.0,338.25
2020-07-31,339.75,337.25,338.5,338.25,23222.0,338.25
2020-08-03,340.5,337.5,337.5,340.25,20650.0,340.25
2020-08-04,339.25,332.0,338.75,332.25,51493.0,332.25
2020-08-05,335.5,332.75,332.75,335.5,31389.0,335.5
2020-08-06,336.25,333.25,335.0,335.5,39821.0,335.5
2020-08-07,335.75,331.75,335.5,332.75,42972.0,332.75
2020-08-10,335.25,332.25,332.25,334.75,52607.0,334.75
2020-08-11,338.75,334.0,335.25,335.25,65007.0,335.25
2020-08-12,339.25,331.5,334.75,338.75,66300.0,338.75
2020-08-13,351.5,338.75,338.75,349.75,82990.0,349.75
2020-08-14,350.5,347.0,349.0,349.25,55133.0,349.25
2020-08-17,357.0,351.25,352.0,356.75,38332.0,356.75
2020-08-18,357.75,353.25,356.0,354.25,45049.0,354.25
2020-08-19,354.75,350.75,353.25,352.75,33185.0,352.75
2020-08-20,353.5,348.5,352.0,352.25,28259.0,352.25
2020-08-21,354.25,351.5,352.0,353.0,54654.0,353.0
2020-08-24,357.5,353.5,354.25,357.0,45380.0,357.0
2020-08-25,367.0,360.0,360.0,366.25,62245.0,366.25
2020-08-26,366.75,363.25,365.75,366.0,54175.0,366.0
2020-08-27,369.75,364.0,365.5,369.5,71956.0,369.5
2020-08-28,369.75,365.75,368.25,369.25,62973.0,369.25
2020-08-31,373.25,366.25,370.0,367.5,65266.0,367.5
2020-09-01,368.25,360.75,365.25,367.75,61302.0,367.75
2020-09-02,369.25,363.75,367.5,369.25,70518.0,369.25
2020-09-03,369.25,364.25,368.5,364.75,34245.0,364.75
2020-09-04,369.75,364.5,364.5,368.5,33460.0,368.5
2020-09-08,373.5,367.0,368.25,372.0,62259.0,372.0
2020-09-09,371.75,368.75,371.0,370.75,41057.0,370.75
2020-09-10,376.25,369.75,370.5,375.0,71878.0,375.0
2020-09-11,379.0,373.5,374.75,378.25,63631.0,378.25
2020-09-14,380.0,376.5,378.0,379.0,40534.0,379.0
2020-09-15,378.75,374.75,378.5,375.75,41098.0,375.75
2020-09-16,381.25,371.75,375.25,381.0,38381.0,381.0
2020-09-17,385.75,377.25,380.5,384.0,61713.0,384.0
2020-09-18,388.0,381.75,382.75,387.5,57576.0,387.5
2020-09-21,387.25,377.5,387.0,379.25,50394.0,379.25
2020-09-22,382.5,375.5,379.0,378.75,47824.0,378.75
2020-09-23,379.5,375.5,377.75,377.5,33135.0,377.5
2020-09-24,377.0,371.75,377.0,372.25,40901.0,372.25
2020-09-25,375.75,371.5,371.75,373.25,38701.0,373.25
2020-09-28,378.0,369.0,372.25,375.5,41117.0,375.5
2020-09-29,376.25,370.5,375.25,374.0,41762.0,374.0
2020-09-30,391.75,371.25,373.5,388.25,87974.0,388.25
2020-10-01,394.0,387.0,387.75,392.0,67483.0,392.0
2020-10-02,392.5,386.5,390.75,389.25,57711.0,389.25
2020-10-05,391.75,387.25,388.0,389.25,35838.0,389.25
